Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Klinikum Am Urban,Hospitals & Acute Care,2026-06-14,Part-time,,"Delivers all nursing-relevant tasks with an empathetic and needs-oriented approach as part of a multiprofessional hospital team, contributing to diagnostic and therapeutic processes and ongoing quality development.","Completed qualification as Pflegefachperson, registered nurse (general or paediatric), or geriatric nurse; social competence; willingness to work three-shift rotation; statutory proof of measles immunisation.",Structured onboarding; remuneration according to TVöD collective agreement; occupational pension (VBL); subsidised additional pension; digital CNE continuing education platform; health programmes; staff discounts.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Klinikum-Am-Urban-Berlin-Kreuzberg-Vivantes-Klinikum-Am-Urban--13912598-inline.html,HEALTHCARE,Berlin Kreuzberg,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Am Urban Bereich: verschiedene | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-am-urban-78651/jobs,job-116,115
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Dr. Radmer / Dr. Schulte BAG GbR Dr. med. Sebastian Radmer,Outpatient & Ambulatory Care,2026-06-14,Full-time,,"Works in a modern orthopaedic practice covering patient reception, treatment room preparation, back-office administration, and care of acupuncture and physical therapy patients, with scope to expand into taping, infusion therapy, casting, and injections.",Patient admission and management skills; practice organisation experience; X-ray certification desirable but not required; reliability and friendliness.,Regular working hours; no weekend duties; no overtime; flat hierarchy; modern practice environment.,On-site,https://www.stepstone.de/stellenangebote--MFA-m-w-d-gesucht-moderne-Orthopaedie-mit-Herz-in-Berlin-Schoeneberg-Berlin-Dr-Radmer-Dr-Schulte-BAG-GbR-Dr-med-Sebastian-Radmer--14087186-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,ng) • Betreuung der Akupunkturpatienten und der physikalischen Therapie Je nach Qualifikation setzen wir Sie gern auch in folgenden Bereichen ein und fördern Sie entsprechen,,Medical & Dental Practices,,job-117,116
Geriatric Nurse for Extraclinical Ventilation Care,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Profimed GmbH & Co. KG,Staffing Agencies & Other,2026-06-14,Full-time,,"Provides basic and treatment nursing care including 24-hour monitoring of invasive and non-invasive ventilation, endotracheal suctioning, tracheostomy tube changes, and care documentation for home-ventilated patients.",Qualified geriatric nurse (state-examined); knowledge of extraclinical intensive care nursing; ability to work independently; resilience and flexibility.,"Above-average pay according to iGZ tariff with supplemental allowances; shift supplements for nights (25%), Sundays (50%), and public holidays (100%); holiday and Christmas bonuses; flexible working time models; external continuing education; tax-free Edenred card.",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-fuer-ausserklinische-BeatmungStefan-Rose2020-08-19T0725-12-00-00-Berlin-Profimed-GmbH-Co-KG--14150699-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,uten und dem Pflegeteam Mitwirkung an qualitätssichernden Maßnahmen Ihr Profil: examinierter Altenpfleger m/w Kenntnisse in der außerklinischen Intensivpflege selbständig | • Mitwirkung an qualitätssichernden Maßnahmen • examinierter Altenpfleger m/w,,Residential & Long-Term Care,,job-118,117
Dental Prophylaxis Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Zahnarztpraxis Sahib Hussain,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Performs general dental assistance and independent prophylaxis treatments, advises and cares for patients, documents treatments, and maintains instruments and hygiene standards in a dental practice.",Completed training as a dental assistant (ZFA) with experience in dental prophylaxis; high hygiene awareness; reliability; empathy; team orientation.,"Friendly, family-like team environment; modern practice; regulated Monday–Friday working hours; overtime arrangements; secure holiday planning; permanent contract.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxe-Assistent-in-d-m-w-in-Lichterfelde-Ost-gesucht-Berlin-Zahnarztpraxis-Sahib-Hussain--14087147-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-119,118
Registered Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Violina - Mit Herz für Sie unterwegs UG,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Carries out treatment nursing, medication administration, wound care, and care documentation on an outpatient home-visit circuit, working autonomously in coordination with physicians, relatives, and the nursing team.",Not specified,"Hourly rate from €26.50 (increasing with experience); 30 days' annual leave for a 35-hour week; part-time or full-time options; flexible hours (early or late shift, no night shifts); supportive and family-like working atmosphere.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachmann-Pflegefachfrau-m-w-d-gesucht-Teilzeit-oder-Vollzeit-Berlin-Violina-Mit-Herz-fuer-Sie-unterwegs-UG--14086413-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Other Healthcare Providers,,job-120,119
Nursing Professional - Psychiatry,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Auguste-Viktoria-Klinikum,Rehabilitation & Mental Health,2026-06-14,Part-time,,"Holistic nursing care and treatment of patients across various psychiatric settings, including participation in group and everyday-oriented therapy programmes and close interdisciplinary teamwork.","Completed nursing qualification (Pflegefachfrau/mann, Gesundheits- und Krankenpfleger/in, Gesundheits- und Kinderkrankenpfleger/in, or Altenpfleger/in); strong social and communication skills; willingness to work responsibly in a team with professional management of proximity and distance.","Structured onboarding, attractive pay under TVöD, occupational pension (VBL), subsidised additional pension, digital continuing education platform (CNE), good transport links, employee parking, occupational health offerings.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Psychiatrie-Berlin-Schoeneberg-Vivantes-Auguste-Viktoria-Klinikum--13912604-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P8 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Auguste-Viktoria-Klinikum Bereich: Psyc | flegerischen Prozesse im Fachbereich Psychiatrie Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | rentwicklung der pflegerischen Prozesse im Fachbereich Psychiatrie • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-auguste-viktoria-klinikum-98600/jobs,job-121,120
Registered Nurse in Offender Support Services,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Verein für Berliner Stadtmission,Rehabilitation & Mental Health,2026-06-14,Full-time,,"Care, counselling, and support of individuals discharged from forensic psychiatric detention, including documentation, participation in ward rounds and team meetings, and coordination with the forensic hospital.",Completed vocational qualification; engaged and open personality with creative skills; ideally experience in a psychiatric setting; identification with the mission of Berliner Stadtmission.,"Varied and meaningful work, needs-oriented working time models, regular supervision, 30 days annual leave (5-day week), pay according to TV EKBO including annual bonus, child supplement for eligible employees, good additional benefits.",On-site,https://www.stepstone.de/stellenangebote--Kranken-und-Gesundheitspfleger-in-in-der-Straffaelligenhilfe-m-w-d-Berlin-Verein-fuer-Berliner-Stadtmission--14023669-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"enten, wie durch das KMV definiert Ihr Profil - Eine erfolgreich abgeschlossene Berufsausbildung - Engagierte, aufgeschlossene Persönlichkeit mit kreativen Fähigkeiten - Ideen | ür die Patienten, wie durch das KMV definiert - Eine erfolgreich abgeschlossene Berufsausbildung - Engagierte, aufgeschlossene Persönlichkeit mit kreativen Fähigkeiten - Ideen",,Mental Health & Rehabilitation,,job-122,121
Nursing Professional for Dialysis (Full or Part Time),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,Diaverum MVZ Am Neuen Garten GmbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Specialist care and treatment of dialysis patients, including planning, implementation, and documentation of nursing care, and serving as contact for patients, relatives, and physicians.","Completed training as a nursing professional, Gesundheits- und Krankenpfleger/in, Altenpfleger/in, or Medizinische/r Fachangestellte/r; reliability, team spirit, sensitivity, and resilience.","Permanent employment contract, engaging work with friendly patients, family-friendly hours with free Sundays and no night shifts.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-fuer-die-Dialyse-in-Voll-oder-Teilzeit-Pflegefachmann-frau-Gesundheits-und-Kinderkrankenpflege-Potsdam-Diaverum-MVZ-Am-Neuen-Garten-GmbH--14023331-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,"nnen und Angehörige, Ärzt*innen und Kolleg*innen WAS WIR UNS VON DIR WÜNSCHEN - Abgeschlossene Ausbildung zur/zum Pflegefachkraft bzw | prechpartner*in für Patient*innen und Angehörige, Ärzt*innen und Kolleg*innen - Abgeschlossene Ausbildung zur/zum Pflegefachkraft bzw",,Residential & Long-Term Care,,job-123,122
Healthcare and Nursing Assistant,Nursing Associate Professionals (3221),3221,322,32,Nursing Associate Professionals,Berlin,Paulinen Service Gesellschaft mbH,Long-term Care & Social Services,2026-06-14,Full-time,,"Provision of basic nursing care including hygiene, prophylaxis, vital sign monitoring, and regular reporting on patient care progress in a resource-oriented approach.",One-year or 18-month completed training as Gesundheits- und Krankenpflegehelfer/Pflegefachassistent or a basic nursing course; good German language skills (B2); willingness to work weekends and public holidays; basic knowledge of patient care documentation preferred.,"Public transport subsidy, free Shiatsu massages, 30 days annual leave, pleasant family-like working atmosphere, family-friendly shift planning, training and development opportunities, structured onboarding.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Pflegeassistent-Pflegefachassistent-m-w-d-Pflegeassistent-in-Gesundheits-und-Krankenpflege-Berlin-Paulinen-Service-Gesellschaft-mbH--14023106-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,monatige abgeschlossene Ausbildung zum Gesundheits- und Krankenpflegehelfer/Pflegefachassistent oder ein Pflegebas,,Other Healthcare Providers,,job-124,123
Registered Nurse / Medical Assistant - Oncology with Specialist Further Training,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Doceins MVZ Mitteldeutschland GmbH,Outpatient & Ambulatory Care,2026-06-14,Full-time,,"Patient care and data documentation in an oncology outpatient practice, including administration of medications, infusions, and injections, preparation and assistance with tumour-specific therapies such as chemotherapy, and assistance with medical procedures such as bone marrow punctures.","Completed training as Gesundheits- und Krankenpfleger/in or Medizinische/r Fachangestellte/r; completed 120-hour specialist further training in oncology (required); professional experience in oncology, intensive care, or palliative care; interest in practice management advantageous.","31 days annual leave, permanent employment contract, individual further training opportunities, regular working hours (no shift or weekend work), JobRad leasing, employer contribution to occupational pension.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Krankenpfleger-Pflegefachkraft-MFA-m-w-d-Onkologie-mit-Fachweiterbildung-Berlin-Doceins-MVZ-Mitteldeutschland-GmbH--14086389-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,terentwicklung und Optimierung von Praxisprozessen Das sollten Sie mitbringen - Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger/in oder Medizinischer Fachangestellte/r (m/ | von Abläufen sowie der Weiterentwicklung und Optimierung von Praxisprozessen - Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger/in oder Medizinischer Fachangestellte/r (m/,,Medical & Dental Practices,,job-125,124
